Titre,Status,Ticket Type,Criticité,Priority,Estimation en jour,Espace concerné,Contexte,Test d'acceptance
[STORY] Attribution automatique – Broadcast aux thérapeutes,To plan,Story,Haute,P1,3,Eïa,"Quand un RDV est demandé, notifier tous les thérapeutes disponibles (selon genre demandé). Le premier qui accepte est assigné.","Tous les thérapeutes dispo reçoivent la notification. Le premier qui clique 'Accepter' est assigné et les autres sont notifiés."
[STORY] Attribution manuelle par l'équipe,To plan,Story,Haute,P1,2,Eïa,"Si aucun thérapeute n'accepte dans le délai, l'équipe peut assigner manuellement depuis l'agenda.","Un admin peut drag & drop ou sélectionner un thérapeute pour l'assigner au RDV en attente."
[STORY] Timeout et escalade si pas de réponse,To plan,Story,Haute,P1,3,Eïa,"Si aucun thérapeute n'accepte après X minutes, alerter l'équipe pour attribution manuelle.","Après le timeout, l'équipe reçoit une alerte. Le RDV reste en attente jusqu'à attribution."
[EPIC] Notifications & Confirmations,To plan,Epic,Haute,P1,8,Eïa,"Système de notifications pour thérapeutes (rappels) et clients (confirmation + rappel).","Toutes les notifications sont envoyées aux bons moments. Les thérapeutes voient le détail du RDV."
[STORY] Notification thérapeute – Veille du RDV,To plan,Story,Haute,P1,1,Eïa,"Envoyer une notification au thérapeute la veille de chaque RDV.","Le thérapeute reçoit un récap de ses RDV du lendemain la veille au soir."
[STORY] Notification thérapeute – Quelques heures avant,To plan,Story,Haute,P1,1,Eïa,"Envoyer un rappel au thérapeute quelques heures avant le RDV.","Le thérapeute reçoit un rappel 2-3h avant avec les infos client, soin, durée, lieu/salle."
[STORY] Fiche détaillée RDV pour thérapeute,To plan,Story,Haute,P1,2,Eïa,"En cliquant sur un RDV, le thérapeute voit : infos client, type de soin, durée, lieu/salle.","Toutes les infos sont accessibles en un clic depuis le planning du thérapeute."
[STORY] Confirmation immédiate au client,To plan,Story,Haute,P1,2,Eïa,"Dès que le RDV est validé (thérapeute accepte ou attribution manuelle), le client reçoit un email/SMS de confirmation.","Le client reçoit la confirmation dans la minute suivant la validation."
[STORY] Rappel automatique client – Veille du soin,To plan,Story,Haute,P1,2,Eïa,"Envoyer un rappel automatique au client la veille de son soin.","Le client reçoit un rappel la veille avec les détails (heure, lieu, type de soin)."
[EPIC] Après le soin – Feedback,To plan,Epic,Moyenne,P2,3,Eïa,"Envoi automatique d'un message post-soin pour recueillir l'avis du client.","Le client reçoit un email de feedback après chaque soin."
[STORY] Email automatique post-soin,To plan,Story,Moyenne,P2,2,Eïa,"Envoyer automatiquement un email X heures après le soin avec un lien de feedback.","Le client reçoit l'email dans les 2h suivant la fin du soin. Le lien mène vers un formulaire d'avis."
[STORY] Formulaire de feedback client,To plan,Story,Moyenne,P2,1,Eïa,"Formulaire simple (note + commentaire) pour recueillir l'avis du client.","Le client peut noter son expérience et laisser un commentaire. Les résultats sont visibles côté admin."
[EPIC] Ajout de prestations en cours de soin,To plan,Epic,Haute,P1,8,Eïa,"Le thérapeute peut ajouter une prestation supplémentaire depuis son téléphone pendant le soin.","Le thérapeute ajoute +30 min depuis son mobile. Le paiement est déclenché automatiquement."
[STORY] Vue dispo salles en temps réel (mobile),To plan,Story,Haute,P1,3,Eïa,"Le thérapeute voit depuis son téléphone si la salle est disponible pour prolonger le soin.","La dispo de la salle est mise à jour en temps réel. Le thérapeute voit si +30 min est possible."
[STORY] Ajout prestation depuis mobile thérapeute,To plan,Story,Haute,P1,3,Eïa,"Le thérapeute peut ajouter une prestation (ex: +30 min) directement depuis son téléphone.","En 2 clics, le thérapeute ajoute la prestation. Le RDV est mis à jour dans l'agenda."
[STORY] Paiement automatique de l'ajout (CB ou room charge),To plan,Story,Haute,P1,2,Eïa,"L'ajout de prestation déclenche un débit CB automatique ou une mise en chambre selon la config.","Le paiement est déclenché automatiquement. Le client est notifié. L'hôtel reçoit l'info si room charge."
[EPIC] Ajout de produits,To plan,Epic,Moyenne,P2,5,Eïa,"Permettre d'ajouter des produits (retail) à la facture client avec notification hôtel.","Un produit ajouté apparaît sur la facture. L'hôtel reçoit un email pour mise en chambre si nécessaire."
[STORY] Catalogue produits par lieu,To plan,Story,Moyenne,P2,2,Eïa,"Chaque lieu a son catalogue de produits disponibles à la vente.","L'admin peut gérer le catalogue produits par lieu (nom, prix, catégorie)."
[STORY] Ajout produit à la facture client,To plan,Story,Moyenne,P2,2,Eïa,"Le thérapeute ou l'équipe peut ajouter un produit à la facture du client.","Le produit apparaît sur la facture. Le montant total est mis à jour."
[STORY] Email automatique à l'hôtel pour mise en chambre produit,To plan,Story,Moyenne,P2,1,Eïa,"Quand un produit est ajouté en room charge, un email est envoyé automatiquement à l'hôtel.","L'hôtel reçoit un email avec les détails du produit et la chambre du client."
[EPIC] Communication & Emails internes,To plan,Epic,Haute,P1,6,Eïa,"Système d'emails automatiques vers conciergerie, équipe spa et équipe Eïa à chaque événement.","Chaque événement (résa, modif, ajout) déclenche les emails vers les bonnes équipes."
[STORY] Configuration emails destinataires par lieu,To plan,Story,Haute,P1,2,Eïa,"Paramétrer plusieurs adresses email par lieu (conciergerie, spa, Eïa) pour les notifications.","L'admin peut configurer N adresses email par lieu. Chaque adresse reçoit les notifications appropriées."
[STORY] Emails automatiques sur événements (résa / modif / ajout),To plan,Story,Haute,P1,3,Eïa,"À chaque événement (nouvelle résa, modification, ajout prestation/produit), envoyer un email aux équipes concernées.","Chaque type d'événement déclenche un email formaté aux bonnes adresses. Aucun événement n'est raté."
[STORY] Templates emails personnalisables,To plan,Story,Moyenne,P2,1,Eïa,"Les templates d'emails peuvent être personnalisés par lieu (logo, couleurs, texte).","Les emails envoyés portent le branding du lieu concerné."
[EPIC] Reporting fin de journée,To plan,Epic,Moyenne,P2,4,Eïa,"Envoi automatique quotidien d'un récap des RDV et modes de paiement.","Chaque soir, les équipes reçoivent le récap du jour par email."
[STORY] Génération du rapport quotidien,To plan,Story,Moyenne,P2,2,Eïa,"Générer automatiquement un rapport quotidien : liste RDV, montants, modes de paiement.","Le rapport contient tous les RDV du jour avec thérapeute, client, soin, montant et mode de paiement."
[STORY] Envoi automatique du rapport par email,To plan,Story,Moyenne,P2,2,Eïa,"Envoyer le rapport quotidien aux destinataires configurés chaque soir.","Le rapport est envoyé chaque jour à l'heure configurée aux bonnes adresses."
[EPIC] Intégration PMS (Opera / Mews),To plan,Epic,Haute,P2,15,Eïa,"Intégration avec les PMS hôteliers pour facturation en chambre et synchronisation données client.","La facturation en chambre fonctionne directement depuis l'app. Les données client sont synchronisées."
[STORY] Intégration API Opera Cloud,To plan,Story,Haute,P2,8,Eïa,"Connecter l'application à Opera Cloud pour room charge et récupération données client.","Je peux facturer en chambre un soin ou produit via Opera. Les infos client (chambre, nom) sont synchronisées."
[STORY] Intégration API Mews,To plan,Story,Haute,P2,5,Eïa,"Connecter l'application à Mews pour room charge et récupération données client.","Même fonctionnalité que Opera mais via l'API Mews."
[STORY] Synchronisation données client & paiements,To plan,Story,Haute,P2,2,Eïa,"Synchroniser les informations client et l'historique de paiements entre l'app et le PMS.","Les données client (séjour, chambre, historique) sont à jour dans l'app en temps réel."
[EPIC] Facturation automatique,To plan,Epic,Haute,P1,6,Eïa,"Facturation automatique mensuelle aux hôtels et aux thérapeutes.","En fin de mois, les factures sont générées et envoyées automatiquement."
[STORY] Facturation mensuelle hôtels,To plan,Story,Haute,P1,3,Eïa,"Générer et envoyer automatiquement une facture mensuelle à chaque hôtel.","La facture récapitule tous les soins/produits du mois avec les montants. Elle est envoyée automatiquement."
[STORY] Facturation mensuelle thérapeutes,To plan,Story,Haute,P1,3,Eïa,"Générer et envoyer automatiquement une facture mensuelle par thérapeute.","Chaque thérapeute reçoit sa facture avec le détail de ses interventions du mois."
[EPIC] Annulations & No-show,To plan,Epic,Haute,P1,5,Eïa,"Gestion des annulations avec délais et pénalités, et traitement des no-show.","Les annulations hors délai déclenchent une pénalité. Les no-show sont tracés et facturés."
[STORY] Politique d'annulation paramétrable par lieu,To plan,Story,Haute,P1,2,Eïa,"Chaque lieu peut définir son délai d'annulation et le montant de la pénalité.","L'admin configure le délai (ex: 24h) et la pénalité (ex: 50%). Le client est informé à la réservation."
[STORY] Gestion des no-show,To plan,Story,Haute,P1,2,Eïa,"Marquer un RDV comme no-show et déclencher la pénalité automatiquement.","Le thérapeute marque le no-show. La pénalité est débitée sur la CB enregistrée ou facturée à l'hôtel."
[STORY] Annulation par le client avec règles de délai,To plan,Story,Haute,P1,1,Eïa,"Le client peut annuler en ligne. Si hors délai, la pénalité s'applique automatiquement.","Annulation dans le délai → remboursement total. Hors délai → pénalité appliquée automatiquement."
[EPIC] Cartes cadeaux & Bons,To plan,Epic,Moyenne,P2,5,Eïa,"Gestion de cartes cadeaux et bons de réduction utilisables lors de la réservation.","Un client peut utiliser un bon ou une carte cadeau. Le montant est déduit automatiquement."
[STORY] Création et gestion de cartes cadeaux,To plan,Story,Moyenne,P2,3,Eïa,"Créer des cartes cadeaux avec un montant ou un soin spécifique, générer un code unique.","L'admin crée une carte cadeau. Un code unique est généré et envoyé au bénéficiaire."
[STORY] Utilisation d'un bon / carte cadeau à la réservation,To plan,Story,Moyenne,P2,2,Eïa,"Le client peut saisir un code promo ou carte cadeau lors de la réservation.","Le code est validé, le montant déduit. Le solde restant est affiché si carte cadeau partielle."
[EPIC] Historique client,To plan,Epic,Moyenne,P2,4,Eïa,"Fiche client avec historique des soins réalisés et préférences.","En ouvrant une fiche client, je vois tout l'historique et les préférences."
[STORY] Fiche client avec historique des soins,To plan,Story,Moyenne,P2,2,Eïa,"Chaque client a une fiche avec la liste de tous ses soins passés (date, lieu, soin, thérapeute).","Je clique sur un client et je vois tout son historique de soins trié par date."
[STORY] Préférences client (thérapeute, type de soin),To plan,Story,Moyenne,P2,2,Eïa,"Enregistrer les préférences du client (thérapeute favori, allergies, préférences de soin).","Les préférences sont visibles par le thérapeute avant le soin. Elles persistent entre les visites."
[EPIC] Statistiques & Dashboard,To plan,Epic,Moyenne,P2,6,Eïa,"Dashboard avec taux de remplissage, CA par lieu et par thérapeute.","Le dashboard affiche les KPIs clés en temps réel."
[STORY] Taux de remplissage par lieu et par salle,To plan,Story,Moyenne,P2,2,Eïa,"Calculer et afficher le taux de remplissage par lieu, salle et période.","Je vois le taux de remplissage du jour/semaine/mois par lieu et par salle."
[STORY] CA par lieu,To plan,Story,Moyenne,P2,2,Eïa,"Afficher le chiffre d'affaires par lieu sur une période donnée.","Je filtre par lieu et par période et je vois le CA total avec le détail soins/produits."
[STORY] CA par thérapeute,To plan,Story,Moyenne,P2,2,Eïa,"Afficher le chiffre d'affaires généré par thérapeute sur une période donnée.","Je filtre par thérapeute et par période et je vois le nombre de soins et le CA généré."
[EPIC] Multi-langues,To plan,Epic,Moyenne,P2,5,Eïa,"Support FR/EN minimum pour l'interface et les emails.","L'app et les emails s'affichent dans la langue du client (FR ou EN)."
[STORY] Internationalisation de l'interface (i18n),To plan,Story,Moyenne,P2,3,Eïa,"Toutes les chaînes de caractères de l'interface sont traduisibles FR/EN.","Je peux basculer l'app en FR ou EN. Tous les textes sont traduits."
[STORY] Templates emails multi-langues,To plan,Story,Moyenne,P2,2,Eïa,"Les emails envoyés aux clients sont dans leur langue préférée.","Un client anglophone reçoit les emails en anglais, un francophone en français."
[EPIC] Widget site Eïa – Recherche & Dispo,To plan,Epic,Haute,P2,10,Eïa,"Widget intégrable sur le site Eïa permettant de chercher un soin par envie/lieu/date et voir les dispos en temps réel.","Le widget affiche les dispos filtrées par type de soin, zone géographique et date."
[STORY] Widget de recherche multi-critères,To plan,Story,Haute,P2,4,Eïa,"Widget permettant de filtrer par type de soin (relaxant, etc.), zone (Paris, Sud, etc.) et date/heure.","Le client tape 'soin relaxant à Paris' et voit les hôtels avec dispos (ex: 14h à Buci)."
[STORY] Affichage des disponibilités en temps réel,To plan,Story,Haute,P2,3,Eïa,"Le widget affiche les créneaux disponibles en temps réel pour chaque lieu correspondant aux critères.","Les dispos affichées sont à jour. Si un créneau est pris, il disparaît instantanément."
[STORY] Intégration du widget sur le site Eïa,To plan,Story,Moyenne,P2,2,Eïa,"Le widget est intégrable via un script ou iframe sur le site Eïa (style parceltinyhouse.com).","Le widget s'intègre en une ligne de code sur le site. Il est responsive et match le design du site."
[STORY] Filtrage par zone géographique (rayon),To plan,Story,Moyenne,P3,1,Eïa,"Le client peut filtrer par distance (ex: à 1h de Paris, dans le Sud).","Le filtre par zone retourne les lieux dans le rayon sélectionné."
